,Name,Description,Designator,Part Number,Price,Qty
,TW-36-02-T-D-190-SM-A,"SMT Board Stacker, Vertical, -55 to 105 degC, 2 mm Pitch, 72-Pin, Male, RoHS","[NoValue], 1","Samtec TW-36-02-T-D-190-SM-A, ",12.76,2
,SZMMBZ5245BLT1G,"Zener Diode, 15V V(Z), 5%, 0.225W, Silicon, Unidirectional, TO-236AB",15V zener,,,1
,"1000pF, 2kV",CAP CER 1000PF 2000V X7R 1206 FT,C1,,,1
,1uF,"Automotive Ceramic Capacitor, 1206, 1uF, 5%, X7R, 15%, 50V","C2, C3, C4, C5, C6, C17, C18","KYOCERA AVX 12065C105J4T2A, ",4.76,7
,"GRM155R72A102KA01D, 1nF","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, X7R, 15%, 10%, 100V","C7, C8, C9, C10, C11, C12, C58","Murata GRM155R72A102KA01D, ",0.15,7
,Capacitor 680pF +/-20% 50V 0402,"Chip Capacitor, 680pF +/-20%, 50V, 0402, Thickness 0.33 mm","C11, C13, C15","Murata GRM15XR71H681KA86D, ",0.45,3
,Capacitor 1µF +/-0.1% 25V 0603,"Chip Capacitor, 1µF +/-0.1%, 25V, 0603, Thickness 1 mm","C12, C14, C16","Samsung Electro-Mechanics CL10A105KA8NNNC, ",0.05,3
,Capacitor 470pF +/-20% 50V 0402,"Chip Capacitor, 470pF +/-20%, 50V, 0402, Thickness 0.6 mm",C19,Yageo Group CC0402KRX7R9BB471,0.1,1
,Capacitor 1uF +/- 10% 16V 0603,"Chip Capacitor, 1 uF, +/- 10%, 16 V, 0603 (1608 Metric)","C20, C70","KEMET C0603C105K4RACTU, ",34.4,2
,10uF,CAP CER 10UF 50V X5R 1206,"C21, C22","Yageo Group CC1206KKX5R9BB106, ",0.86,2
